# chain=base rpc=https://base.publicnode.com contract=0x09154248ffdbaf8aa877ae8a4bf8ce1503596428
# block=40640676
tokenId,owner
0,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
1,0xc421401af43d217d8bf16f18ffd076f3c84219d9
11,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
18,0xc421401af43d217d8bf16f18ffd076f3c84219d9
22,0x0c65be17e86bcb6019148be0a4e8f0a4510a70cb
23,0xc421401af43d217d8bf16f18ffd076f3c84219d9
33,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
41,0xc421401af43d217d8bf16f18ffd076f3c84219d9
43,0xf8a025b42b07db05638fe596cce339707ec3cc71
44,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
45,0xc421401af43d217d8bf16f18ffd076f3c84219d9
46,0xc421401af43d217d8bf16f18ffd076f3c84219d9
55,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
63,0xf8a025b42b07db05638fe596cce339707ec3cc71
66,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
68,0xf8a025b42b07db05638fe596cce339707ec3cc71
70,0xc421401af43d217d8bf16f18ffd076f3c84219d9
71,0xc421401af43d217d8bf16f18ffd076f3c84219d9
76,0xc421401af43d217d8bf16f18ffd076f3c84219d9
77,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
79,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
84,0xc421401af43d217d8bf16f18ffd076f3c84219d9
87,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
88,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
91,0xc421401af43d217d8bf16f18ffd076f3c84219d9
92,0xc421401af43d217d8bf16f18ffd076f3c84219d9
93,0xc7aab24ede583b0dc9041343ae51466bb86a1ab7
94,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
95,0xc421401af43d217d8bf16f18ffd076f3c84219d9
97,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
98,0xc421401af43d217d8bf16f18ffd076f3c84219d9
99,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
100,0xf8a025b42b07db05638fe596cce339707ec3cc71
103,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
106,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
107,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
108,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
109,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
110,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
112,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
114,0xc421401af43d217d8bf16f18ffd076f3c84219d9
115,0xc421401af43d217d8bf16f18ffd076f3c84219d9
116,0xc421401af43d217d8bf16f18ffd076f3c84219d9
117,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
120,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
121,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
122,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
123,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
125,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
131,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
132,0x21ee4e4994a5d87f579b9aee5e22142b85e9c624
133,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
134,0xc421401af43d217d8bf16f18ffd076f3c84219d9
135,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
136,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
137,0xefbe74a2d564b5da62407d452038db32c9fd6b27
138,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
139,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
140,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
141,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
142,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
143,0x46e9beef5dc68dff095eca56dadf90247f1af7ef
144,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
146,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
147,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
148,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
149,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
151,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
152,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
153,0xc421401af43d217d8bf16f18ffd076f3c84219d9
154,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
155,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
157,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
158,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
161,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
163,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
164,0xefbe74a2d564b5da62407d452038db32c9fd6b27
165,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
167,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
168,0xc421401af43d217d8bf16f18ffd076f3c84219d9
169,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
170,0xc421401af43d217d8bf16f18ffd076f3c84219d9
171,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
173,0xc421401af43d217d8bf16f18ffd076f3c84219d9
174,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
175,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
176,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
177,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
178,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
179,0xc421401af43d217d8bf16f18ffd076f3c84219d9
180,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
181,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
182,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
183,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
184,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
186,0xf8a025b42b07db05638fe596cce339707ec3cc71
187,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
188,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
193,0xc421401af43d217d8bf16f18ffd076f3c84219d9
194,0xf8a025b42b07db05638fe596cce339707ec3cc71
195,0xc421401af43d217d8bf16f18ffd076f3c84219d9
196,0xc421401af43d217d8bf16f18ffd076f3c84219d9
197,0xc421401af43d217d8bf16f18ffd076f3c84219d9
198,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
199,0xc421401af43d217d8bf16f18ffd076f3c84219d9
200,0xfe341be90f9c2cc7e65ef4e820f632ab6495b85e
201,0xc876ec039b90718ff7fc3754b3eec8d2e8918f2f
203,0x76d0e7a13248945ee9f808b4a472262b28778942
204,0xefbe74a2d564b5da62407d452038db32c9fd6b27
205,0x76d0e7a13248945ee9f808b4a472262b28778942
208,0x76d0e7a13248945ee9f808b4a472262b28778942
209,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
211,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
212,0x76d0e7a13248945ee9f808b4a472262b28778942
214,0x76d0e7a13248945ee9f808b4a472262b28778942
217,0x76d0e7a13248945ee9f808b4a472262b28778942
219,0x09a80a434a3ea1e247dabc7ec979b7392f34b510
220,0x09a900eb2ff6e9aca12d4d1a396ddc9be0307661
223,0x76d0e7a13248945ee9f808b4a472262b28778942
224,0x884ff907d5fb8bae239b64aa8ad18ba3f8196038
225,0x76d0e7a13248945ee9f808b4a472262b28778942
226,0xca0edb47a8c9ef04dc2368946f46fb3d7c1a3202
227,0x5d13b662a387a0e40b9320b8759e38c1204ec5ea
